135 000 DH,Année-Modèle:2013,Kilométrage:160 000 - 169 999,Type de carburant:Diesel,Marque:Peugeot,Modèle:508,Puissance fiscale:-,-,"Type:Voitures, Offre", Temara
53 000 DH,Année-Modèle:2008,Kilométrage:35 000 - 39 999,Type de carburant:Diesel,Marque:Renault,Modèle:Clio,Puissance fiscale:-,-,"Type:Voitures, Offre", Safi
59 000 DH,Année-Modèle:2007,Kilométrage:180 000 - 189 999,Type de carburant:Diesel,Marque:Citroen,Modèle:C3,Puissance fiscale:6 CV,Secteur:oued_fes,"Type:Voitures, Offre", Fès
88 000 DH,Année-Modèle:2010,Kilométrage:35 000 - 39 999,Type de carburant:Diesel,Marque:Mercedes-Benz,Modèle:220,Puissance fiscale:-,-,"Type:Voitures, Offre", Nador
60 000 DH,Année-Modèle:2009,Kilométrage:130 000 - 139 999,Type de carburant:Essence,Marque:Ford,Modèle:Fiesta,Puissance fiscale:7 CV,Secteur:saies,"Type:Voitures, Offre", Fès
67 000 DH,Année-Modèle:2006,Kilométrage:100 000 - 109 999,Type de carburant:Essence,Marque:Nissan,Modèle:Murano,Puissance fiscale:20 CV,Secteur:laimoune,"Type:Voitures, Offre", Casablanca
73 000 DH,Année-Modèle:2007,Kilométrage:10 000 - 14 999,Type de carburant:Diesel,Marque:Peugeot,Modèle:Partner,Puissance fiscale:-,-,"Type:Voitures, Offre", Marrakech
68 000 DH,Année-Modèle:2003,Kilométrage:250 000 - 299 999,Type de carburant:Diesel,Marque:Renault,Modèle:Scenic,Puissance fiscale:-,-,"Type:Voitures, Offre", Marrakech
78 000 DH,Année-Modèle:2014,Kilométrage:110 000 - 119 999,Type de carburant:Diesel,Marque:Fiat,Modèle:Punto,Puissance fiscale:5 CV,Secteur:ain_sebaa,"Type:Voitures, Offre", Casablanca
40 000 DH,Année-Modèle:2001,Kilométrage:170 000 - 179 999,Type de carburant:Diesel,Marque:Fiat,Modèle:Palio,Puissance fiscale:7 CV,Secteur:ben_souda,"Type:Voitures, Offre", Fès
143 000 DH,Année-Modèle:2015,Kilométrage:65 000 - 69 999,Type de carburant:Diesel,Marque:Skoda,Modèle:RAPID,Puissance fiscale:6 CV,Secteur:lissasfa,"Type:Voitures, Offre", Casablanca
275 000 DH,Année-Modèle:2015,Kilométrage:130 000 - 139 999,Type de carburant:Diesel,Marque:Hyundai,Modèle:Santa Fe,Puissance fiscale:-,Secteur:lissasfa,"Type:Voitures, Offre", Casablanca
118 000 DH,Année-Modèle:2015,Kilométrage:85 000 - 89 999,Type de carburant:Diesel,Marque:Renault,Modèle:Fluence,Puissance fiscale:-,Secteur:hassan,"Type:Voitures, Offre", Rabat
92 000 DH,Année-Modèle:2009,Kilométrage:25 000 - 29 999,Type de carburant:Diesel,Marque:Kia,Modèle:Sorento,Puissance fiscale:-,Secteur:agdal,"Type:Voitures, Offre", Rabat
89 000 DH,Année-Modèle:2014,Kilométrage:75 000 - 79 999,Type de carburant:Diesel,Marque:Dacia,Modèle:Logan,Puissance fiscale:6 CV,Secteur:autre_secteur,"Type:Voitures, Offre", Meknès
75 000 DH,Année-Modèle:2009,Kilométrage:120 000 - 129 999,Type de carburant:Essence,Marque:Opel,Modèle:Corsa,Puissance fiscale:7 CV,Secteur:wilaya,"Type:Voitures, Offre", Tétouan
53 000 DH,Année-Modèle:2008,Kilométrage:30 000 - 34 999,Type de carburant:Diesel,Marque:Renault,Modèle:Clio,Puissance fiscale:-,-,"Type:Voitures, Offre", Safi
58 000 DH,Année-Modèle:1993,Kilométrage:200 000 - 249 999,Type de carburant:Diesel,Marque:Mercedes-Benz,Modèle:190,Puissance fiscale:8 CV,Secteur:toute_la_ville,"Type:Voitures, Offre", Tifelt
37 000 DH,Année-Modèle:2001,Kilométrage:30 000 - 34 999,Type de carburant:Essence,Marque:Peugeot,Modèle:406,Puissance fiscale:-,-,"Type:Voitures, Offre", Rabat
85 000 DH,Année-Modèle:2002,Kilométrage:200 000 - 249 999,Type de carburant:Diesel,Marque:Volkswagen,Modèle:Passat,Puissance fiscale:-,-,"Type:Voitures, Offre", Casablanca
89 000 DH,Année-Modèle:2007,Kilométrage:120 000 - 129 999,Type de carburant:Essence,Marque:mini,Modèle:cooper,Puissance fiscale:8 CV,Secteur:2_mars,"Type:Voitures, Offre", Casablanca
48 000 DH,Année-Modèle:2001,Kilométrage:100 000 - 109 999,Type de carburant:Diesel,Marque:Seat,Modèle:Ibiza,Puissance fiscale:8 CV,Secteur:ben_msick,"Type:Voitures, Offre", Casablanca
203 000 DH,Année-Modèle:2014,Kilométrage:170 000 - 179 999,Type de carburant:Diesel,Marque:Volkswagen,Modèle:GOLF 7,Puissance fiscale:-,-,"Type:Voitures, Offre", Casablanca
32 000 DH,Année-Modèle:1999,Kilométrage:120 000 - 129 999,Type de carburant:Essence,Marque:Fiat,Modèle:Palio,Puissance fiscale:-,-,"Type:Voitures, Offre", Casablanca
140 000 DH,Année-Modèle:2007,Kilométrage:25 000 - 29 999,Type de carburant:Diesel,Marque:Isuzu,Modèle:D-MAX,Puissance fiscale:-,-,"Type:Voitures, Offre", Béni Mellal
65 000 DH,Année-Modèle:2008,Kilométrage:110 000 - 119 999,Type de carburant:Essence,Marque:Fiat,Modèle:Punto,Puissance fiscale:7 CV,Secteur:centre,"Type:Voitures, Offre", Tanger
70 000 DH,Année-Modèle:2006,Kilométrage:5 000 - 9 999,Type de carburant:Diesel,Marque:Peugeot,Modèle:206,Puissance fiscale:-,-,"Type:Voitures, Offre", Tifelt
120 000 DH,Année-Modèle:2006,Kilométrage:0 - 4 999,Type de carburant:Diesel,Marque:Mercedes-Benz,Modèle:Classe B,Puissance fiscale:-,Secteur:jnan_el_ward,"Type:Voitures, Offre", Fès
83 000 DH,Année-Modèle:1999,Kilométrage:20 000 - 24 999,Type de carburant:Diesel,Marque:Volkswagen,Modèle:GOLF 4,Puissance fiscale:-,Secteur:toute_la_ville,"Type:Voitures, Offre", Al Hoceima
125 000 DH,Année-Modèle:2009,Kilométrage:170 000 - 179 999,Type de carburant:Diesel,Marque:Volkswagen,Modèle:Passat,Puissance fiscale:8 CV,Secteur:bab_sebta,"Type:Voitures, Offre", Salé
58 000 DH,Année-Modèle:1995,Kilométrage:10 000 - 14 999,Type de carburant:Diesel,Marque:Volkswagen,Modèle:GOLF 3,Puissance fiscale:-,Secteur:toute_la_ville,"Type:Voitures, Offre", Settat
168 000 DH,Année-Modèle:2014,Kilométrage:50 000 - 54 999,Type de carburant:Diesel,Marque:Honda,Modèle:Accord,Puissance fiscale:-,Secteur:centre_ville,"Type:Voitures, Offre", Casablanca
